Date,Close
8/31/2021,50092.5
9/1/2021,50500
9/2/2021,50504
9/3/2021,50499
9/6/2021,50485
9/7/2021,50482
9/8/2021,50479
9/9/2021,51140
9/10/2021,51137
9/13/2021,51123
9/14/2021,51120
9/15/2021,51117
9/16/2021,51120
9/17/2021,53000
9/20/2021,52990
9/21/2021,52988
9/22/2021,52987
9/23/2021,52991
9/24/2021,52990
9/27/2021,52972
9/28/2021,52974
9/29/2021,52976
9/30/2021,52980
10/1/2021,52978
10/4/2021,52963
10/5/2021,52961
10/6/2021,52960
10/7/2021,52966
10/8/2021,52966
10/11/2021,52950
10/12/2021,52948
10/13/2021,52946
10/14/2021,55869
10/15/2021,56071
10/18/2021,56100
10/19/2021,56100
10/20/2021,56100
10/21/2021,56111
10/22/2021,56218
10/25/2021,56201
10/26/2021,56201
10/27/2021,56243
10/28/2021,56254
10/29/2021,56259
11/1/2021,56243
11/2/2021,56242
11/3/2021,58000
11/4/2021,58210
11/5/2021,59215
11/8/2021,59199
11/9/2021,59204
11/10/2021,59199
11/11/2021,59211
11/12/2021,59216
11/15/2021,59200
11/16/2021,61199
11/17/2021,61250
11/18/2021,61255
11/19/2021,61258
11/22/2021,61240
11/23/2021,62850
11/24/2021,62844
11/25/2021,62848
11/26/2021,62852
11/29/2021,62840
11/30/2021,65500
12/1/2021,65850
12/2/2021,66750
12/3/2021,66746
12/6/2021,69000
12/7/2021,69500
12/8/2021,69525
12/9/2021,69528
12/10/2021,69527
12/13/2021,69516
12/14/2021,69519
12/15/2021,69519
12/16/2021,69525
12/17/2021,70209
12/20/2021,70195
12/21/2021,70198
12/22/2021,70197
12/23/2021,70207
12/24/2021,70206
12/29/2021,70187
12/30/2021,70194
12/31/2021,70193
1/4/2022,70178
1/5/2022,70176
1/6/2022,70180
1/7/2022,70178
1/10/2022,70164
1/11/2022,70167
1/12/2022,70165
1/13/2022,70171
1/14/2022,70167
1/17/2022,70149
1/18/2022,70150
1/19/2022,70151
1/20/2022,71649
1/21/2022,71644
1/24/2022,71700
1/25/2022,70704
1/26/2022,70706
1/27/2022,70714
1/28/2022,70714
1/31/2022,70714
2/1/2022,70705
2/2/2022,70709
2/3/2022,70719
2/4/2022,70720
2/7/2022,70716
2/8/2022,70710
2/9/2022,70714
2/10/2022,70721
2/11/2022,70721
2/14/2022,70717
2/15/2022,70711
2/16/2022,70715
2/17/2022,70725
2/18/2022,72502
2/21/2022,72499
2/22/2022,73002
2/23/2022,73005
2/24/2022,73722
2/25/2022,73721
2/28/2022,73718
3/1/2022,73704
3/2/2022,73690
3/3/2022,75500
3/4/2022,75503
3/7/2022,78999
3/8/2022,81499
3/9/2022,81750
3/10/2022,81900
3/11/2022,81900
3/14/2022,81886
3/15/2022,81884
3/16/2022,81881
3/17/2022,81880
3/18/2022,81881
3/21/2022,81865
3/22/2022,81862
3/23/2022,81859
3/24/2022,81858
3/25/2022,81859
3/28/2022,81843
3/29/2022,81840
3/30/2022,81837
3/31/2022,81841
4/1/2022,81838
4/4/2022,81822
